run,name,RA,EIS,preference,growth,tech_change,tech_scale,dam_func,baseline_num,tip_on,bs_premium,d_unc,t_unc,no_free_lunch
0,pref-run,10,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
1,feat-15,10,1.071,0.001,0.015,1.5,0,0,2,1,10000,1,1,0
2,feat-25,10,0.704,0.005,0.015,1.5,0,0,2,1,10000,1,1,0
3,feat-3,10,0.649,0.008,0.015,1.5,0,0,2,1,10000,1,1,0
4,stat-pref-run,10,0.833,0.002,0.015,1.5,0,1,2,1,10000,1,1,0
5,stat-feat-15,10,1.071,0.001,0.015,1.5,0,1,2,1,10000,1,1,0
6,stat-feat-25,10,0.704,0.005,0.015,1.5,0,1,2,1,10000,1,1,0
7,stat-feat-3,10,0.649,0.008,0.015,1.5,0,1,2,1,10000,1,1,0
8,struc-pref-run,10,0.833,0.002,0.015,1.5,0,2,2,1,10000,1,1,0
9,struc-feat-15,10,1.071,0.001,0.015,1.5,0,2,2,1,10000,1,1,0
10,struc-feat-25,10,0.704,0.005,0.015,1.5,0,2,2,1,10000,1,1,0
11,struc-feat-3,10,0.649,0.008,0.015,1.5,0,2,2,1,10000,1,1,0
12,meta-pref-run,10,0.833,0.002,0.015,1.5,0,3,2,1,10000,1,1,0
13,meta-feat-15,10,1.071,0.001,0.015,1.5,0,3,2,1,10000,1,1,0
14,meta-feat-25,10,0.704,0.005,0.015,1.5,0,3,2,1,10000,1,1,0
15,meta-feat-3,10,0.649,0.008,0.015,1.5,0,3,2,1,10000,1,1,0
16,pref-run-high-ra,15,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
17,pref-run-low-ra,3,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,0
18,pref-run-nfl,10,0.833,0.002,0.015,1.5,0,0,2,1,10000,1,1,1
19,feat-15-nfl,10,1.071,0.001,0.015,1.5,0,0,2,1,10000,1,1,1
20,feat-25-nfl,10,0.704,0.005,0.015,1.5,0,0,2,1,10000,1,1,1
21,feat-3-nfl,10,0.649,0.008,0.015,1.5,0,0,2,1,10000,1,1,1